Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Season Type,PER,Adjusted Salary
643,JD Davison,20,BOS,SG,12.0,0.0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1.0,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,Unknown,davisjd01,Regular,10.1,538994.56
644,Kendall Brown,19,IND,SG,6.0,0.0,6.7,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,Unknown,brownke03,Regular,9.1,538994.56
645,Matthew Dellavedova,32,SAC,PG,32.0,0.0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.43,0.1,0.2,0.571,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5,Unknown,dellama01,Regular,6.7,2784092.22
646,Keon Ellis,23,SAC,SG,16.0,0.0,4.4,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.625,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,Unknown,elliske01,Regular,14.0,538994.56
647,Mfiondu Kabengele,25,BOS,PF,4.0,0.0,9.0,0.5,1.8,0.286,0.0,0.8,0.0,0.5,1.0,0.5,0.286,0.5,0.5,1.0,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,1.5,Unknown,kabenmf01,Regular,8.1,538994.56
648,Jordan Schakel,24,WAS,SF,2.0,0.0,3.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.0,0.0,0.77,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,Unknown,schakjo01,Regular,24.3,102223.31
649,Isaiah Todd,21,WAS,PF,6.0,1.0,10.2,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.184,0.3,0.3,1.0,0.3,1.7,2.0,0.7,0.2,0.0,0.3,0.7,1.5,Unknown,toddis01,Regular,-1.0,1668169.46
650,Thanasis Antetokounmpo,30,MIL,PF,37.0,0.0,5.6,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.435,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,Unknown,antetth01,Regular,6.7,1989856.09
651,PJ Dozier,26,SAC,SF,16.0,0.0,4.9,0.6,2.1,0.303,0.1,1.0,0.125,0.5,1.1,0.471,0.333,0.0,0.0,0.77,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4,Unknown,doziepj01,Regular,5.2,831070.38
652,Wendell Moore Jr.,21,MIN,SG,29.0,2.0,5.3,0.6,1.5,0.419,0.1,0.6,0.118,0.6,0.9,0.615,0.442,0.1,0.2,0.8,0.1,0.5,0.6,0.6,0.3,0.2,0.3,0.4,1.4,Unknown,moorewe01,Regular,9.3,4699471.69
653,Ryan Arcidiacono,28,2TM,PG,20.0,4.0,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0.0,0.0,0.77,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3,Unknown,arcidry01,Regular,2.7,1944704.3
654,Ryan Arcidiacono,28,NYK,PG,11.0,0.0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,0.77,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,Unknown,arcidry01,Regular,3.1,1944704.3
655,Ryan Arcidiacono,28,POR,PG,9.0,4.0,16.2,0.9,3.6,0.25,0.8,2.2,0.35,0.1,1.3,0.083,0.359,0.0,0.0,0.77,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6,Unknown,arcidry01,Regular,2.6,1944704.3
656,Facundo Campazzo,31,DAL,PG,8.0,0.0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.0,0.346,0.1,0.3,0.5,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,Unknown,campafa01,Regular,7.8,491764.71
657,Braxton Key,25,DET,SF,3.0,0.0,3.0,0.3,0.3,1.0,0.0,0.0,0.346,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,Unknown,keybr01,Regular,18.6,213739.64
658,Tyrese Martin,23,ATL,SG,16.0,0.0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1.0,0.5,0.413,0.1,0.1,1.0,0.3,0.4,0.8,0.1,0.1,0.0,0.1,0.1,1.3,Unknown,martity01,Regular,7.7,1077988.05
659,KZ Okpala,23,SAC,PF,35.0,3.0,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1.0,0.4,0.2,0.2,0.2,1.1,1.3,Unknown,okpalkz01,Regular,6.2,2014654.09
660,Cole Swider,23,LAL,SF,7.0,0.0,5.9,0.4,1.3,0.333,0.4,1.1,0.375,0.0,0.1,0.0,0.5,0.0,0.0,0.77,0.1,0.9,1.0,0.6,0.0,0.0,0.0,0.4,1.3,Unknown,swideco01,Regular,7.4,538994.56
661,Vit Krejci,22,ATL,PG,29.0,0.0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.473,0.0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0.0,0.2,0.6,1.2,Unknown,krejcvi01,Regular,7.7,1656008.24
662,Jack White,25,DEN,SF,17.0,0.0,3.9,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.5,0.1,0.2,0.667,0.4,0.6,1.0,0.2,0.2,0.1,0.1,0.5,1.2,Unknown,whiteja03,Regular,12.6,538994.56
663,Noah Vonleh,27,BOS,C,23.0,1.0,7.4,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,Unknown,vonleno01,Regular,5.9,1229631.54
664,Malcolm Hill,27,CHI,SF,5.0,0.0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.625,0.0,0.0,0.77,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0,Unknown,hillma01,Regular,15.4,538994.56
665,Trevor Keels,19,NYK,SG,3.0,0.0,2.7,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,0.534,0.375,0.0,0.0,0.77,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,keelstr01,Regular,3.7,551384.55
666,Chima Moneke,27,SAC,SF,2.0,0.0,4.0,0.5,1.0,0.5,0.0,0.0,0.346,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,Unknown,monekch01,Regular,-3.5,529577.61
667,Kobi Simmons,25,CHO,SG,5.0,0.0,5.6,0.2,1.2,0.167,0.2,1.0,0.2,0.0,0.2,0.0,0.25,0.4,0.4,1.0,0.2,0.6,0.8,1.0,0.0,0.4,0.2,0.0,1.0,Unknown,simmoko01,Regular,9.0,34735.0
668,Joe Wieskamp,23,TOR,SF,9.0,0.0,5.6,0.3,1.6,0.214,0.3,1.3,0.25,0.0,0.2,0.0,0.321,0.0,0.0,0.77,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.3,1.0,Unknown,wieskjo01,Regular,-0.4,3081358.96
669,Justin Jackson,27,BOS,SF,23.0,0.0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,Unknown,jacksju01,Regular,6.3,1944704.3
670,Marko Simonovic,23,CHI,C,7.0,0.0,2.9,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.357,0.1,0.3,0.5,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.9,Unknown,simonma01,Regular,-0.1,1656008.24
671,Dereon Seabron,22,NOP,SG,5.0,0.0,2.4,0.4,1.0,0.4,0.0,0.0,0.346,0.4,1.0,0.4,0.4,0.0,0.0,0.77,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,Unknown,seabrde01,Regular,4.6,542092.59
672,Vernon Carey Jr.,21,WAS,C,11.0,0.0,2.5,0.2,0.7,0.25,0.0,0.0,0.346,0.2,0.7,0.25,0.25,0.2,0.2,1.0,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,Unknown,careyve01,Regular,10.8,4699471.69
673,Devon Dotson,23,WAS,PG,6.0,0.0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.15,0.0,0.0,0.77,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,Unknown,dotsode01,Regular,4.8,179664.5
674,Leandro Bolmaro,22,UTA,SF,14.0,0.0,4.9,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,0.77,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,Unknown,bolmale01,Regular,-5.0,1810414.01
675,Sterling Brown,27,LAL,SF,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.77,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,Unknown,brownst02,Regular,7.0,3307320.19
676,Deonte Burton,29,SAC,PF,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,burtode02,Regular,-12.6,111764.18
677,Michael Foster Jr.,20,PHI,PF,1.0,0.0,1.0,0.0,0.0,0.453,0.0,0.0,0.346,0.0,0.0,0.534,0.534,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,fostemi02,Regular,0.0,4699471.69
678,Frank Jackson,24,UTA,PG,1.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.77,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Unknown,jacksfr01,Regular,-6.8,119805.28
679,Alondes Williams,23,BRK,SG,1.0,0.0,5.0,0.0,0.0,0.453,0.0,0.0,0.346,0.0,0.0,0.534,0.534,0.0,0.0,0.77,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,Unknown,willial06,Regular,-20.9,269497.81
1,Kawhi Leonard,31,LAC,SF,2.0,2.0,40.0,12.0,22.0,0.545,3.0,5.0,0.6,9.0,17.0,0.529,0.614,7.5,8.5,0.882,1.5,5.0,6.5,6.0,2.0,0.5,3.0,2.5,34.5,Unknown,leonaka01,Playoff,29.9,45006144.5
2,Devin Booker,26,PHO,SG,11.0,11.0,41.7,12.8,21.9,0.585,2.8,5.5,0.508,10.0,16.4,0.611,0.649,5.3,6.1,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7,Unknown,bookede01,Playoff,28.6,35834822.05
3,Anthony Edwards,21,MIN,SG,5.0,5.0,39.8,11.0,22.8,0.482,3.0,8.6,0.349,8.0,14.2,0.563,0.548,6.6,7.8,0.846,0.6,4.4,5.0,5.2,1.8,2.0,1.6,2.6,31.6,Unknown,edwaran01,Playoff,27.5,11368336.58
4,Stephen Curry,34,GSW,PG,13.0,13.0,37.9,11.2,23.9,0.466,4.4,12.1,0.363,6.8,11.8,0.571,0.558,3.8,4.5,0.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,2.6,30.5,Unknown,curryst01,Playoff,20.4,50913606.01
5,Nikola Jokić,27,DEN,C,20.0,20.0,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7.0,0.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,30.0,Finals MVP-1,jokicni01,Playoff,31.2,35002752.89
6,Trae Young,24,ATL,PG,6.0,6.0,38.3,10.0,24.8,0.403,3.0,9.0,0.333,7.0,15.8,0.442,0.463,6.2,7.2,0.86,0.8,2.8,3.7,10.2,1.7,0.7,4.0,1.8,29.2,Unknown,youngtr01,Playoff,21.1,39290951.43
7,Kevin Durant,34,PHO,PF,11.0,11.0,42.4,9.7,20.4,0.478,1.5,4.6,0.333,8.2,15.7,0.52,0.516,8.0,8.7,0.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,29.0,Unknown,duranke01,Playoff,21.1,46729763.91
8,Jalen Brunson,26,NYK,PG,11.0,11.0,40.3,9.9,20.9,0.474,2.4,7.3,0.325,7.5,13.6,0.553,0.53,5.6,6.2,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8,Unknown,brunsja01,Playoff,22.9,29373903.21
9,De'Aaron Fox,25,SAC,PG,7.0,7.0,38.6,10.0,23.6,0.424,3.0,9.0,0.333,7.0,14.6,0.48,0.488,4.4,5.9,0.756,1.7,3.7,5.4,7.7,2.1,0.6,4.0,3.3,27.4,Unknown,foxde01,Playoff,18.9,32147246.07
10,Jayson Tatum,24,BOS,SF,20.0,20.0,40.0,9.3,20.2,0.458,2.7,8.2,0.323,6.6,12.0,0.55,0.524,6.0,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2,Unknown,tatumja01,Playoff,22.6,32147246.07
11,Jimmy Butler,33,MIA,PF,22.0,22.0,39.7,9.4,20.1,0.468,1.3,3.5,0.359,8.1,16.5,0.492,0.5,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,Unknown,butleji01,Playoff,24.0,39880689.05
12,Jamal Murray,25,DEN,PG,20.0,20.0,40.0,9.7,20.5,0.473,3.0,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,Unknown,murraja01,Playoff,21.6,33522898.05
13,Ja Morant,23,MEM,PG,5.0,5.0,37.4,9.0,21.2,0.425,2.6,6.2,0.419,6.4,15.0,0.427,0.486,4.0,5.2,0.769,1.6,5.2,6.8,7.0,1.8,0.2,3.4,2.4,24.6,Unknown,moranja01,Playoff,18.4,12836368.08
14,LeBron James,38,LAL,PF,16.0,16.0,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,Unknown,jamesle01,Playoff,22.6,47105915.47
15,Khris Middleton,31,MIL,SF,5.0,5.0,34.6,8.0,17.2,0.465,2.6,6.4,0.406,5.4,10.8,0.5,0.541,5.2,6.0,0.867,1.4,5.0,6.4,6.2,0.6,0.0,3.4,3.0,23.8,Unknown,middlkh01,Playoff,19.1,40231244.01
16,Joel Embiid,28,PHI,C,9.0,9.0,37.3,7.3,17.0,0.431,0.6,3.1,0.179,6.8,13.9,0.488,0.448,8.4,9.3,0.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,3.0,23.7,Unknown,embiijo01,Playoff,20.3,35605377.25
17,Russell Westbrook,34,LAC,PG,5.0,5.0,38.4,8.6,21.0,0.41,2.0,5.6,0.357,6.6,15.4,0.429,0.457,4.4,5.0,0.88,1.8,5.8,7.6,7.4,1.2,1.4,4.0,3.0,23.6,Unknown,westbru01,Playoff,17.6,49865217.11
18,Desmond Bane,24,MEM,SG,6.0,6.0,38.5,8.2,19.3,0.422,2.7,8.3,0.32,5.5,11.0,0.5,0.491,4.5,4.8,0.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,23.5,Unknown,banede01,Playoff,13.3,2256254.81
19,Mikal Bridges,26,BRK,SG,4.0,4.0,39.3,8.3,19.3,0.429,2.5,6.3,0.4,5.8,13.0,0.442,0.494,4.5,5.8,0.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,1.3,23.5,Unknown,bridgmi01,Playoff,16.3,21289019.82
20,Giannis Antetokounmpo,28,MIL,PF,3.0,3.0,30.3,9.3,17.7,0.528,0.0,1.0,0.0,9.3,16.7,0.56,0.528,4.7,10.3,0.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,23.3,Unknown,antetgi01,Playoff,18.8,45006144.5
21,Donovan Mitchell,26,CLE,SG,5.0,5.0,41.4,9.0,20.8,0.433,2.6,9.0,0.289,6.4,11.8,0.542,0.495,2.6,3.6,0.722,0.6,4.4,5.0,7.2,2.0,0.6,3.8,2.8,23.2,Unknown,mitchdo01,Playoff,15.7,32742459.52
22,Dejounte Murray,26,ATL,SG,5.0,5.0,38.0,9.2,20.6,0.447,2.8,7.4,0.378,6.4,13.2,0.485,0.515,1.8,1.8,1.0,1.8,5.4,7.2,6.8,2.0,0.2,2.0,1.4,23.0,Unknown,murrade01,Playoff,20.5,18080965.77
23,Jaylen Brown,26,BOS,SF,20.0,20.0,37.6,9.1,18.3,0.496,2.0,5.7,0.354,7.1,12.6,0.56,0.551,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,Unknown,brownja02,Playoff,15.5,31538237.12
24,Anthony Davis,29,LAL,C,16.0,16.0,38.0,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,Unknown,davisan02,Playoff,24.0,40227477.65
25,Norman Powell,29,LAC,SG,5.0,3.0,33.4,7.2,15.2,0.474,2.6,6.4,0.406,4.6,8.8,0.523,0.559,4.8,6.2,0.774,0.8,2.2,3.0,2.2,0.8,0.4,1.6,3.2,21.8,Unknown,powelno01,Playoff,17.6,17749980.83
26,Darius Garland,23,CLE,PG,5.0,5.0,37.8,7.0,16.0,0.438,2.4,6.2,0.387,4.6,9.8,0.469,0.513,4.2,5.0,0.84,0.0,1.8,1.8,5.0,1.6,0.2,3.6,3.4,20.6,Unknown,garlada01,Playoff,13.3,9448505.49
27,Tyrese Maxey,22,PHI,SG,11.0,11.0,38.5,7.5,17.5,0.427,3.1,7.7,0.4,4.4,9.7,0.449,0.516,2.5,2.8,0.903,0.8,4.0,4.8,2.3,1.4,0.5,0.7,2.4,20.5,Unknown,maxeyty01,Playoff,16.8,2888189.17
28,James Harden,33,PHI,PG,11.0,11.0,38.8,6.5,16.6,0.393,2.8,7.5,0.378,3.7,9.2,0.406,0.478,4.4,5.0,0.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5,20.3,Unknown,hardeja01,Playoff,18.5,34952122.09
29,RJ Barrett,22,NYK,SG,11.0,11.0,34.3,6.5,14.9,0.433,1.8,5.5,0.328,4.6,9.4,0.495,0.494,4.5,5.9,0.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,2.3,19.3,Unknown,barrerj01,Playoff,14.6,11545463.35
30,Brook Lopez,34,MIL,C,5.0,5.0,36.4,7.8,13.4,0.582,1.4,3.4,0.412,6.4,10.0,0.64,0.634,2.0,2.6,0.769,2.8,3.6,6.4,1.2,1.4,1.8,2.2,2.0,19.0,Unknown,lopezbr01,Playoff,18.4,14729646.15
31,Malik Monk,24,SAC,SG,7.0,0.0,29.3,5.4,13.3,0.409,1.9,5.6,0.333,3.6,7.7,0.463,0.478,6.3,7.0,0.898,0.9,4.6,5.4,3.6,0.7,0.4,2.0,2.1,19.0,Unknown,monkma01,Playoff,18.3,10032550.15
32,Cameron Johnson,26,BRK,PF,4.0,4.0,38.0,7.0,13.8,0.509,3.0,7.0,0.429,4.0,6.8,0.593,0.618,1.5,1.8,0.857,0.8,5.0,5.8,2.8,0.8,0.3,1.3,2.5,18.5,Unknown,johnsca02,Playoff,16.4,6236198.93
33,Klay Thompson,32,GSW,SF,13.0,13.0,36.0,6.5,16.8,0.388,3.8,10.5,0.368,2.7,6.4,0.422,0.502,1.6,1.8,0.875,0.1,4.1,4.2,2.2,0.5,0.3,2.0,2.2,18.5,Unknown,thompkl01,Playoff,9.3,43001786.46
34,Karl-Anthony Towns,27,MIN,PF,5.0,5.0,36.0,6.4,14.0,0.457,1.2,4.8,0.25,5.2,9.2,0.565,0.5,4.2,5.6,0.75,1.2,9.0,10.2,2.0,0.6,0.8,3.6,4.2,18.2,Unknown,townska01,Playoff,12.2,35834822.05
35,Jaren Jackson Jr.,23,MEM,C,6.0,6.0,36.7,5.8,13.8,0.422,1.2,4.2,0.28,4.7,9.7,0.483,0.464,5.2,6.0,0.861,3.3,4.5,7.8,1.5,1.0,2.0,3.0,4.0,18.0,Unknown,jacksja02,Playoff,14.1,4699471.69
36,Bam Adebayo,25,MIA,C,23.0,23.0,37.0,7.3,15.1,0.481,0.0,0.1,0.0,7.3,15.0,0.485,0.481,3.4,4.1,0.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,Unknown,adebaba01,Playoff,15.8,32147246.07
37,Jrue Holiday,32,MIL,PG,5.0,5.0,38.2,6.8,17.0,0.4,2.4,8.4,0.286,4.4,8.6,0.512,0.471,1.8,2.6,0.692,0.8,5.8,6.6,8.0,1.0,0.4,2.4,2.4,17.8,Unknown,holidjr01,Playoff,13.7,36349698.58
38,Austin Reaves,24,LAL,SG,16.0,16.0,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,Unknown,reaveau01,Playoff,15.4,1656008.24
39,De'Andre Hunter,25,ATL,SF,6.0,6.0,37.3,6.5,14.2,0.459,2.3,6.3,0.368,4.2,7.8,0.532,0.541,1.3,1.7,0.8,1.2,4.5,5.7,1.2,0.7,0.3,1.5,3.3,16.7,Unknown,huntede01,Playoff,10.8,10417724.65
40,Andrew Wiggins,27,GSW,SF,13.0,12.0,34.0,6.4,13.9,0.459,1.5,4.9,0.297,4.9,9.0,0.547,0.511,2.5,3.6,0.681,1.8,3.8,5.6,1.9,0.8,1.2,1.3,3.5,16.7,Unknown,wiggian01,Playoff,13.3,35605377.25
41,Julius Randle,28,NYK,PF,10.0,10.0,33.0,5.5,14.7,0.374,1.7,6.6,0.258,3.8,8.1,0.469,0.432,3.9,5.5,0.709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,2.4,16.6,Unknown,randlju01,Playoff,11.5,25165527.91
42,Spencer Dinwiddie,29,BRK,PG,4.0,4.0,39.8,5.5,12.8,0.431,1.8,4.5,0.389,3.8,8.3,0.455,0.5,3.8,5.5,0.682,0.3,3.0,3.3,6.5,1.3,0.3,3.0,1.8,16.5,Unknown,dinwisp01,Playoff,12.8,20653526.69
43,Domantas Sabonis,26,SAC,C,7.0,7.0,34.7,7.0,14.1,0.495,0.1,0.7,0.2,6.9,13.4,0.511,0.5,2.3,4.0,0.571,4.4,6.6,11.0,4.7,1.4,0.9,3.7,4.0,16.4,Unknown,sabondo01,Playoff,15.9,22348175.03
44,Tobias Harris,30,PHI,SF,11.0,11.0,35.6,6.4,12.2,0.522,1.4,3.7,0.366,5.0,8.5,0.591,0.578,1.2,1.4,0.867,1.5,5.7,7.3,1.6,0.6,0.5,0.7,2.5,15.3,Unknown,harrito02,Playoff,16.1,39859241.16
45,Rudy Gobert,30,MIN,C,5.0,5.0,35.4,5.8,9.2,0.63,0.0,0.0,0.346,5.8,9.2,0.63,0.63,3.4,5.4,0.63,3.6,8.6,12.2,2.0,0.4,1.0,1.6,4.8,15.0,Unknown,goberru01,Playoff,18.2,40430511.35
46,Caris LeVert,28,CLE,SG,5.0,3.0,34.0,5.4,12.6,0.429,2.6,7.2,0.361,2.8,5.4,0.519,0.532,1.6,2.6,0.615,0.8,3.8,4.6,2.6,0.4,0.2,1.0,2.0,15.0,Unknown,leverca01,Playoff,12.4,19908194.93
47,Marcus Smart,28,BOS,PG,20.0,20.0,34.0,5.1,11.2,0.453,2.2,6.1,0.361,2.9,5.1,0.564,0.552,2.6,3.3,0.8,1.1,3.0,4.0,5.1,1.3,0.3,2.3,1.9,14.9,Unknown,smartma01,Playoff,15.4,18225034.18
48,Deandre Ayton,24,PHO,C,10.0,10.0,31.9,6.1,11.1,0.55,0.0,0.0,0.346,6.1,11.1,0.55,0.55,1.2,2.3,0.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,13.4,Unknown,aytonde01,Playoff,13.9,32742459.52
49,Michael Porter Jr.,24,DEN,SF,20.0,20.0,32.7,5.0,11.7,0.423,2.3,6.6,0.351,2.7,5.2,0.515,0.521,1.2,1.5,0.793,1.0,7.1,8.1,1.6,0.5,0.6,0.5,2.1,13.4,Unknown,portemi01,Playoff,13.4,4699471.69
50,Derrick White,28,BOS,SG,20.0,16.0,29.7,4.7,9.2,0.505,2.5,5.5,0.455,2.2,3.7,0.581,0.641,1.6,1.7,0.912,0.7,2.3,3.0,2.1,0.6,1.0,0.9,1.9,13.4,Unknown,whitede01,Playoff,16.2,18156946.39
51,Bogdan Bogdanović,30,ATL,SG,6.0,1.0,26.2,5.0,9.0,0.556,2.5,5.5,0.455,2.5,3.5,0.714,0.694,0.8,1.2,0.714,0.3,2.7,3.0,2.5,1.0,0.8,0.5,2.7,13.3,Unknown,bogdabo01,Playoff,19.1,19064793.87
52,Aaron Gordon,27,DEN,PF,20.0,20.0,35.7,5.1,9.8,0.518,0.9,2.3,0.391,4.2,7.5,0.557,0.564,2.3,3.5,0.652,2.5,3.6,6.0,2.6,0.6,0.7,1.0,2.9,13.3,Unknown,gordoaa01,Playoff,14.1,21914884.17
53,D'Angelo Russell,26,LAL,PG,16.0,15.0,29.6,5.2,12.2,0.426,1.7,5.4,0.31,3.5,6.8,0.519,0.495,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2.0,13.3,Unknown,russeda01,Playoff,12.2,33233907.54
54,Caleb Martin,27,MIA,SF,23.0,4.0,30.2,4.7,9.0,0.529,1.9,4.5,0.423,2.8,4.4,0.637,0.636,1.3,1.5,0.829,1.2,4.3,5.4,1.6,0.9,0.4,1.0,2.4,12.7,Unknown,martica02,Playoff,15.3,6862266.64
55,Gabe Vincent,26,MIA,PG,22.0,22.0,30.5,4.5,11.2,0.402,2.3,6.1,0.378,2.2,5.0,0.432,0.506,1.4,1.5,0.882,0.4,1.0,1.4,3.5,0.9,0.2,1.4,3.0,12.7,Unknown,vincega01,Playoff,10.5,1923083.76
56,Chris Paul,37,PHO,PG,7.0,7.0,35.7,5.4,13.0,0.418,1.3,4.0,0.321,4.1,9.0,0.46,0.467,0.3,0.6,0.5,0.7,4.3,5.0,7.4,1.7,0.7,1.0,2.3,12.4,Unknown,paulch01,Playoff,14.7,30080008.1
57,Rui Hachimura,24,LAL,PF,16.0,1.0,24.3,4.6,8.2,0.557,1.2,2.4,0.487,3.4,5.8,0.587,0.63,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2,Unknown,hachiru01,Playoff,16.0,6633688.23
58,Bruce Brown,26,DEN,SF,20.0,0.0,26.5,4.5,8.8,0.511,0.9,2.9,0.316,3.6,6.0,0.605,0.563,2.1,2.5,0.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,12.0,Unknown,brownbr01,Playoff,15.5,6862266.64
