Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,Season Type,PER,Adjusted Salary
573,Josh Minott,20,MIN,SF,15.0,0.0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2.0,0.533,0.528,0.5,0.5,1.0,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1,Unknown,minotjo01,Regular,17.9,1077988.05
574,Jamaree Bouyea,23,2TM,PG,5.0,0.0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.5,0.2,0.4,0.5,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,Unknown,bouyeja01,Regular,6.5,123906.33
575,Jamaree Bouyea,23,MIA,PG,4.0,0.0,16.3,1.5,3.3,0.462,0.5,1.3,0.4,1.0,2.0,0.5,0.538,0.3,0.5,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8,Unknown,bouyeja01,Regular,7.8,123906.33
576,Jamaree Bouyea,23,WAS,PG,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.534,0.0,0.0,0.0,0.77,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Unknown,bouyeja01,Regular,-6.9,123906.33
577,Juan Toscano-Anderson,29,2TM,SF,52.0,9.0,13.5,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.476,0.4,0.5,0.792,0.5,1.8,2.4,1.3,0.3,0.2,0.7,1.5,3.0,Unknown,toscaju01,Regular,7.2,2259472.52
578,Juan Toscano-Anderson,29,LAL,SF,30.0,7.0,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1.0,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7,Unknown,toscaju01,Regular,7.5,2259472.52
579,Juan Toscano-Anderson,29,UTA,SF,22.0,2.0,15.2,1.4,3.5,0.403,0.2,1.0,0.174,1.2,2.5,0.5,0.429,0.4,0.4,0.889,0.6,2.2,2.9,1.8,0.3,0.1,0.8,1.5,3.4,Unknown,toscaju01,Regular,6.9,2259472.52
580,Tyler Dorsey,26,DAL,SF,3.0,0.0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.9,0.0,0.0,0.77,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,Unknown,dorsety01,Regular,45.5,213739.64
581,Usman Garuba,20,HOU,C,75.0,1.0,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,Unknown,garubus01,Regular,12.9,2617342.0
582,Jacob Gilyard,24,MEM,PG,1.0,0.0,41.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.534,0.5,0.0,0.0,0.77,0.0,4.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,Unknown,gilyaja01,Regular,7.3,6195.0
583,Jake LaRavia,21,MEM,PF,35.0,0.0,11.8,1.1,2.7,0.389,0.7,2.0,0.338,0.4,0.7,0.542,0.516,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3.0,Unknown,laravja01,Regular,6.7,3227923.8
584,Robin Lopez,34,CLE,C,37.0,2.0,8.1,1.3,2.0,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.653,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3.0,Unknown,lopezro01,Regular,11.6,3077747.24
585,Trevelin Queen,25,IND,SG,7.0,0.0,10.0,1.0,4.1,0.241,0.3,2.1,0.133,0.7,2.0,0.357,0.276,0.7,0.7,1.0,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0,Unknown,queentr01,Regular,6.0,888515.78
586,Terry Taylor,23,2TM,PF,31.0,2.0,8.5,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.553,0.2,0.4,0.545,0.9,0.6,1.5,0.3,0.1,0.2,0.3,0.8,2.9,Unknown,taylote01,Regular,11.0,1804696.69
587,Terry Taylor,23,IND,PF,26.0,2.0,8.8,1.2,2.5,0.462,0.2,0.7,0.222,1.0,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7,Unknown,taylote01,Regular,8.8,1804696.69
588,Terry Taylor,23,CHI,PF,5.0,0.0,7.2,1.8,2.0,0.9,0.2,0.2,1.0,1.6,1.8,0.889,0.95,0.2,0.8,0.25,1.0,0.6,1.6,0.0,0.0,0.2,0.0,0.4,4.0,Unknown,taylote01,Regular,25.0,1804696.69
